name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,relpos1,relpos2,length1,length2,minleft1,maxright1,minleft2,maxright2
VC2187,5UTR,NC_002505,Vcr078,sRNA,NC_002505,16649,144,0.0,0.0,2,-,2334140,2334175,2332976,2333016,-,0.8438,0.4597,35,41,2334080,2334344,2332923,2333131
GcvB,sRNA,NC_002505,Vcr036,sRNA,NC_002505,11610,154,0.0,0.0,2,-,954841,954875,840383,840418,-,0.3948,0.5617,35,36,954716,954924,840377,840505
Vcr078,sRNA,NC_002505,VC2187,5UTR,NC_002505,6106,43,0.0,0.0,2,-,2332966,2333008,2334140,2334171,-,0.7539,0.7226,43,31,2332928,2333139,2334087,2334361
Vcr043,sRNA,NC_002505,VC0731,3UTR,NC_002505,5787,54,0.0,0.0,2,+,1114616,1114659,786557,786591,-,0.8305,0.4399,43,35,1114588,1114749,786548,786682
VC2142,5UTR,NC_002505,FlaX,sRNA,NC_002505,3807,15,0.0,0.0,2,-,2297452,2297493,2334458,2334492,-,0.6388,0.7404,42,34,2297404,2297515,2334412,2334709
VC2033,3UTR,NC_002505,Vcr069:VC1803,IGR,NC_002505,3596,32,0.0,0.0,2,-,2187568,2187607,1944191,1944225,+,0.1943,0.7028,39,35,2187550,2187636,1944142,1944276
VC2033,3UTR,NC_002505,Vcr203,sRNA,NC_002505,2137,17,0.0,0.0,2,-,2187567,2187600,606841,606866,+,0.1983,0.3084,33,26,2187551,2187634,606796,606918
VC2086,CDS,NC_002505,VC2087,CDS,NC_002505,2025,44,0.0,0.0,2,-,2246050,2246097,2247939,2247985,-,0.4699,0.5249,47,46,2245387,2246656,2246620,2249473
VC2087,CDS,NC_002505,VC2086,CDS,NC_002505,1767,43,0.0,0.0,2,-,2247916,2247982,2246037,2246074,-,0.5492,0.4502,66,38,2246620,2249478,2245390,2246648
VC0405,CDS,NC_002505,VC0406,CDS,NC_002505,1458,29,0.0,0.0,2,+,432060,432111,433727,433762,+,0.6024,0.4662,51,36,431360,433121,433089,434349
VC0406,CDS,NC_002505,VC0405,CDS,NC_002505,1278,23,0.0,0.0,2,+,433691,433740,432085,432127,+,0.5245,0.5637,49,43,433092,434355,431368,433121
VC0404,CDS,NC_002505,VC0405,CDS,NC_002505,1233,38,0.0,0.0,2,+,430771,430814,432425,432464,+,0.5235,0.3686,43,39,430212,431401,431374,433122
Vcr078,sRNA,NC_002505,Vcr036,sRNA,NC_002505,1189,23,8.582535656068938e-19,1.8921172742292228e-16,2,-,2332953,2332994,840379,840413,-,0.829,0.6169,42,35,2332934,2333133,840377,840468
VC0405,CDS,NC_002505,VC0404,CDS,NC_002505,1166,33,0.0,0.0,2,+,432416,432468,430794,430832,+,0.3962,0.4718,52,38,431359,433127,430209,431386
Vcr078,sRNA,NC_002505,Vcr045,sRNA,NC_002505,1165,22,7.211164205716107e-137,1.3810480395046454e-133,2,-,2332954,2332994,1164286,1164320,+,0.8235,0.0808,40,35,2332923,2333129,1164262,1164326
VC1726,CDS,NC_002505,VC1727,CDS,NC_002505,1058,23,0.0,0.0,2,-,1864300,1864359,1865889,1865926,-,0.709,0.5126,60,37,1863856,1865344,1865317,1866565
VC1727,CDS,NC_002505,VC1726,CDS,NC_002505,1030,13,0.0,0.0,2,-,1865880,1865926,1864326,1864368,-,0.5504,0.662,46,42,1865315,1866572,1863860,1865348
FlaX,sRNA,NC_002505,VC2142,5UTR,NC_002505,990,1,0.0,0.0,2,-,2334534,2334576,2297440,2297470,-,0.58,0.3916,42,31,2334423,2334706,2297409,2297501
VC2085,CDS,NC_002505,VC2087,CDS,NC_002505,895,23,8.391389001693987e-214,3.377444325705876e-210,2,-,2244618,2244662,2247736,2247782,-,0.5322,0.5968,45,47,2244057,2245255,2246620,2249470
VC2087,CDS,NC_002505,VC2085,CDS,NC_002505,863,32,5.159078861203578e-196,1.8230077466099435e-192,2,-,2247840,2247889,2244592,2244628,-,0.5765,0.5235,49,36,2246619,2249478,2244059,2245255
VC1873,CDS,NC_002505,VC1872,CDS,NC_002505,768,20,0.0,0.0,2,+,2017589,2017632,2015953,2015994,+,0.5627,0.4623,43,42,2017019,2018325,2014950,2016894
VC0745,3UTR,NC_002505,Vcr078,sRNA,NC_002505,759,15,4.3493691131707855e-14,7.513367936363455e-12,2,-,798786,798814,2332951,2332984,-,0.1848,0.6464,28,34,798770,798821,2332923,2333131
VC2143,5UTR,NC_002505,FlaX,sRNA,NC_002505,747,10,0.0,0.0,2,-,2298812,2298851,2334469,2334505,-,0.8751,0.6898,39,37,2298774,2298873,2334422,2334691
VC2041,3UTR,NC_002505,Vcr045,sRNA,NC_002505,735,15,0.0,0.0,2,+,2199254,2199296,1164285,1164320,+,0.7007,0.0929,43,35,2199242,2199320,1164273,1164326
VC0745,3UTR,NC_002505,Vcr045,sRNA,NC_002505,694,13,0.0,0.0,2,-,798784,798812,1164286,1164320,+,0.1956,0.096,29,34,798740,798832,1164242,1164326
Vcr017,sRNA,NC_002505,VC2033,3UTR,NC_002505,684,29,0.0,0.0,2,-,350324,350363,2187568,2187596,-,0.4589,0.0824,39,29,350276,350369,2187551,2187630
VCA0117,CDS,NC_002506,VCA0116,CDS,NC_002506,682,11,0.0,0.0,2,+,129592,129636,127804,127844,+,0.4958,0.3613,44,40,128767,130377,126156,128800
VC1663,3UTR,NC_002505,TarB,sRNA,NC_002505,666,4,0.0,0.0,2,+,1795259,1795297,911236,911271,-,0.9081,0.5568,38,36,1795232,1795317,911232,911308
Vcr045,sRNA,NC_002505,VC0745,3UTR,NC_002505,654,102,0.0,0.0,2,+,1164283,1164313,798787,798813,-,0.8041,0.0382,31,27,1164251,1164326,798768,798823
VC1872,CDS,NC_002505,VC1873,CDS,NC_002505,648,19,0.0,0.0,2,+,2015952,2016008,2017583,2017619,+,0.4844,0.5392,57,37,2014954,2016882,2017022,2018325
Vcr078,sRNA,NC_002505,VC0583,3UTR,NC_002505,646,17,0.000238010515539884,0.00902476338403298,2,-,2332955,2332995,612528,612561,-,0.8187,0.016,41,33,2332935,2333138,612525,612581
VC0250,CDS,NC_002505,VC0249,CDS,NC_002505,640,17,0.0,0.0,2,+,256849,256892,255535,255575,+,0.4018,0.4186,43,40,256167,257316,254737,256010
VC2084,CDS,NC_002505,VC2085,CDS,NC_002505,621,9,0.0,0.0,2,-,2243503,2243547,2244817,2244856,-,0.6526,0.328,44,39,2243183,2244047,2244076,2245252
VCA0116,CDS,NC_002506,VCA0117,CDS,NC_002506,603,16,0.0,0.0,2,+,127775,127843,129596,129631,+,0.3876,0.4713,68,36,126160,128801,128775,130378
VC2089,CDS,NC_002505,VC2087,CDS,NC_002505,599,27,5.300016085105365e-172,1.466574855343742e-168,2,-,2250924,2250963,2248194,2248241,-,0.6319,0.4336,40,48,2250259,2252056,2246643,2249478
VCA1092,CDS,NC_002506,VCA1094,CDS,NC_002506,590,16,0.0,0.0,2,-,1048242,1048290,1049966,1050000,-,0.5046,0.5098,48,35,1047208,1049229,1049728,1050282
VC2087,CDS,NC_002505,VC2089,CDS,NC_002505,578,14,6.014047279520097e-159,1.4840992639892456e-155,2,-,2248188,2248242,2250963,2251002,-,0.4526,0.5873,55,39,2246628,2249478,2250257,2252045
VCA1092,CDS,NC_002506,VCA1095,CDS,NC_002506,576,22,0.0,0.0,2,-,1048632,1048684,1050807,1050845,-,0.3132,0.7375,53,38,1047222,1049292,1050262,1052459
VC1874,CDS,NC_002505,GcvB,sRNA,NC_002505,570,13,8.536221345660821e-201,3.1340632570333395e-197,2,+,2019759,2019800,954779,954812,-,0.07,0.5375,42,33,2018347,2019890,954717,954894
VCA1095,CDS,NC_002506,VCA1092,CDS,NC_002506,562,16,0.0,0.0,2,-,1050848,1050893,1048565,1048610,-,0.736,0.324,45,45,1050252,1052467,1047231,1049293
VC2086,CDS,NC_002505,VC2085,CDS,NC_002505,549,18,3.5959540717368007e-193,1.2302330963013918e-189,2,-,2246072,2246116,2244473,2244507,-,0.4514,0.6275,44,35,2245389,2246653,2244060,2245251
VC0329,CDS,NC_002505,VC0328,CDS,NC_002505,548,6,0.0,0.0,2,+,345713,345780,343113,343160,+,0.7123,0.3078,67,47,344494,348683,340394,344397
VC0251,CDS,NC_002505,VC0250,CDS,NC_002505,539,18,4.592743636871823e-303,3.422526200009665e-299,2,+,258539,258596,256735,256774,+,0.4965,0.4686,58,39,257306,259790,256164,257314
VC0251,CDS,NC_002505,VC0252,CDS,NC_002505,537,11,0.0,0.0,2,+,258304,258360,260034,260069,+,0.5913,0.5928,56,36,257306,259750,259824,260409
VC0745,3UTR,NC_002505,Vcr036,sRNA,NC_002505,535,17,5.840139140238357e-164,1.4900372625749496e-160,2,-,798785,798813,840379,840414,-,0.1877,0.6128,29,35,798770,798822,840377,840471
VC2086,CDS,NC_002505,VC2084,CDS,NC_002505,531,17,5.837019493560993e-226,2.4961715380262214e-222,2,-,2246050,2246097,2243679,2243716,-,0.4703,0.4088,47,37,2245386,2246657,2243185,2244080
VC2085,CDS,NC_002505,VC2084,CDS,NC_002505,527,13,1.5373469488370116e-269,9.110959588794653e-266,2,-,2244827,2244873,2243512,2243551,-,0.3529,0.5982,47,39,2244274,2245254,2243184,2244055
VC0551,CDS,NC_002505,VC0550,CDS,NC_002505,496,8,0.0,0.0,2,+,585173,585221,583661,583698,+,0.3591,0.4128,49,38,584421,585600,582633,584459
VC2319,CDS,NC_002505,VC2320,CDS,NC_002505,496,11,0.0,0.0,2,-,2467704,2467758,2470041,2470088,-,0.4392,0.5986,54,47,2466537,2468647,2468623,2472265
VC0404,CDS,NC_002505,VC0406,CDS,NC_002505,491,21,1.8536856907485425e-244,9.178853970857528e-241,2,+,430834,430874,433619,433654,+,0.4702,0.5551,40,36,430216,431395,433090,434348
VC2142,CDS,NC_002505,FlaX,sRNA,NC_002505,488,3,0.0,0.0,2,-,2297035,2297085,2334478,2334513,-,0.345,0.6618,51,35,2296284,2297447,2334422,2334690
VC2320,CDS,NC_002505,VC2319,CDS,NC_002505,481,10,0.0,0.0,2,-,2470038,2470115,2467692,2467733,-,0.6123,0.4255,78,42,2468618,2472236,2466515,2468638
Vcr078,sRNA,NC_002505,VCA0665,3UTR,NC_002506,481,4,4.113415766786221e-292,2.7642704856700743e-288,2,-,2332953,2332995,602110,602144,+,0.8256,0.4691,42,35,2332937,2333111,602088,602149
VC2545,3UTR,NC_002505,FlaX,sRNA,NC_002505,479,1,0.0,0.0,2,+,2726612,2726644,2334506,2334541,-,0.9913,0.5558,32,35,2726600,2726658,2334423,2334688
VC1034,CDS,NC_002505,VC1033,CDS,NC_002505,478,14,0.0,0.0,2,+,1100736,1100778,1098848,1098899,+,0.5577,0.4541,42,51,1100371,1101178,1097643,1099958
VC2084,CDS,NC_002505,VC2086,CDS,NC_002505,472,10,2.9658132780315313e-180,9.074122734865131e-177,2,-,2243661,2243703,2246029,2246066,-,0.4718,0.4568,43,38,2243181,2244086,2245390,2246637
VC2322,CDS,NC_002505,VC2320,CDS,NC_002505,463,12,0.0,0.0,2,-,2473502,2473541,2470983,2471025,-,0.7162,0.3401,40,43,2472505,2475906,2468621,2472265
VC2187,CDS,NC_002505,Vcr078,sRNA,NC_002505,460,6,3.501587332351028e-28,1.092656390394139e-25,2,-,2334028,2334081,2332959,2332996,-,0.0638,0.5803,54,37,2333119,2334118,2332922,2333084
