name1,type1,ref1,name2,type2,ref2,nb_ints,nb_multi,p_value,fdr,in_libs,strand1,meanleft1,meanright1,meanleft2,meanright2,strand2,relpos1,relpos2,length1,length2,minleft1,maxright1,minleft2,maxright2
MicX,sRNA,NC_002506,VC0972,5UTR,NC_002505,52009,74,0.0,0.0,2,-,893376,893416,1037826,1037862,+,0.6983,0.2084,41,36,893270,893612,1037723,1037908
VC0972,5UTR,NC_002505,MicX,sRNA,NC_002506,51906,111,0.0,0.0,2,+,1037790,1037831,893312,893347,-,0.7517,0.7815,42,36,1037714,1037906,893269,893521
Vcr229,sRNA,NC_002506,Vssrna24,sRNA,NC_002505,17112,188,0.0,0.0,2,+,897559,897602,106501,106536,+,0.8371,0.0135,44,36,897517,897770,106448,106571
Qrr2,sRNA,NC_002506,VC2647,5UTR,NC_002505,14266,31,0.0,0.0,2,+,48449,48488,2821415,2821451,+,0.6365,0.2706,40,37,48446,48518,2821310,2821518
Vcr076,sRNA,NC_002505,Vssrna24,sRNA,NC_002505,14039,37,0.0,0.0,2,-,2266088,2266125,106501,106536,+,0.3847,0.0051,37,36,2266011,2266168,106450,106566
MicX,sRNA,NC_002506,VC0435,5UTR,NC_002505,13879,23,0.0,0.0,2,-,893367,893456,466303,466323,+,0.7244,0.7806,89,20,893283,893618,466287,466372
Vssrna24,sRNA,NC_002505,Vcr229,sRNA,NC_002506,11841,70,0.0,0.0,2,+,106484,106519,897648,897687,+,0.9326,0.1928,35,40,106441,106580,897524,897752
VC0706,CDS,NC_002505,Vcr043,sRNA,NC_002505,10465,65,0.0,0.0,2,-,756359,756401,1114687,1114724,+,0.6414,0.1547,42,37,756221,756591,1114593,1114750
Vcr083,sRNA,NC_002505,Spot42,sRNA,NC_002505,9754,15,0.0,0.0,2,+,2472441,2472481,106129,106169,+,0.8062,0.1448,41,40,2472390,2472576,106075,106185
VC1595,CDS,NC_002505,Spot42,sRNA,NC_002505,9383,31,0.0,0.0,2,-,1708116,1708154,106145,106180,+,0.0706,0.0438,38,35,1707068,1708220,106086,106186
VC0395,CDS,NC_002505,Qrr1,sRNA,NC_002505,9025,1128,0.0,0.0,2,-,421464,421487,1089969,1090042,-,0.0498,0.1596,24,74,420797,421530,1089962,1090062
VC2570,CDS,NC_002505,Vcr076,sRNA,NC_002505,8064,30,0.0,0.0,2,-,2751389,2751429,2266025,2266063,-,0.2805,0.6046,40,38,2751098,2751533,2266014,2266165
VC0706,CDS,NC_002505,Vcr227,sRNA,NC_002506,7930,38,0.0,0.0,2,-,756446,756486,479978,480014,+,0.3759,0.1231,40,37,756221,756598,479930,480024
VC0731,3UTR,NC_002505,Vcr043,sRNA,NC_002505,7795,20,0.0,0.0,2,-,786600,786639,1114690,1114729,+,0.3905,0.1208,40,40,786535,786687,1114583,1114750
VC1497,CDS,NC_002505,Vcr043,sRNA,NC_002505,7568,14,0.0,0.0,2,-,1608689,1608730,1114683,1114719,+,0.7392,0.185,42,37,1608510,1609166,1114592,1114750
VC1051,5UTR,NC_002505,Vcr043,sRNA,NC_002505,7467,30,0.0,0.0,2,+,1121416,1121455,1114685,1114723,+,0.5661,0.1578,39,39,1121359,1121481,1114589,1114750
VCA0987,CDS,NC_002506,Spot42,sRNA,NC_002505,6987,8,0.0,0.0,2,+,938115,938156,106144,106179,+,0.9872,0.0503,41,35,938067,940405,106076,106186
VC0470,CDS,NC_002505,TfoR,sRNA,NC_002505,6759,40,0.0,0.0,2,-,499378,499412,2236651,2236699,+,0.0764,0.0671,34,49,498854,499453,2236579,2236712
VC0036,5UTR,NC_002505,Vcr043,sRNA,NC_002505,6552,21,0.0,0.0,2,-,35744,35785,1114671,1114706,+,0.9178,0.2655,41,36,35714,35851,1114593,1114750
VCA0166,CDS,NC_002506,Vcr227,sRNA,NC_002506,6515,9,0.0,0.0,2,+,184270,184310,479977,480012,+,0.9372,0.1547,41,36,184235,184490,479932,480027
VC1865,CDS,NC_002505,VqmR,sRNA,NC_002506,6368,18,0.0,0.0,2,+,2005168,2005206,1031536,1031573,+,0.9787,0.0961,39,38,2005113,2006668,1031438,1031590
VC0910,5UTR,NC_002505,Spot42,sRNA,NC_002505,5489,2,0.0,0.0,2,+,969749,969791,106143,106179,+,0.7624,0.0531,42,36,969714,969809,106079,106188
VC0395,CDS,NC_002505,Qrr2,sRNA,NC_002506,5096,3497,0.0,0.0,2,-,421463,421487,48464,48503,+,0.0505,0.3081,24,40,420872,421530,48446,48556
Qrr4,sRNA,NC_002506,VC2647,5UTR,NC_002505,4973,8,0.0,0.0,2,-,908267,908306,2821416,2821452,+,0.3644,0.268,39,36,908212,908336,2821309,2821518
Vcr076,sRNA,NC_002505,VC2570,CDS,NC_002505,4926,69,0.0,0.0,2,-,2266097,2266131,2751366,2751406,-,0.309,0.2363,34,41,2266015,2266166,2751110,2751527
VC2647,CDS,NC_002505,TfoR,sRNA,NC_002505,4705,9,0.0,0.0,2,+,2821533,2821572,2236668,2236704,+,0.9399,0.0238,39,37,2821479,2822039,2236588,2236711
VCA0166,5UTR,NC_002506,Vcr227,sRNA,NC_002506,4566,33,0.0,0.0,2,+,184233,184259,479964,480014,+,0.183,0.1307,26,51,184115,184278,479924,480024
Vcr230,sRNA,NC_002506,Spot42,sRNA,NC_002505,4150,1,0.0,0.0,2,+,938013,938054,106144,106179,+,0.7354,0.0533,42,35,937991,938110,106090,106186
VC1034,CDS,NC_002505,Spot42,sRNA,NC_002505,3804,20,0.0,0.0,2,+,1100994,1101038,106140,106176,+,0.225,0.0766,44,37,1100371,1101191,106075,106185
VC0706,CDS,NC_002505,Vcr090,sRNA,NC_002506,3538,36,1.8535917527318885e-165,1.2819485226755253e-162,2,-,756380,756422,3242,3276,+,0.579,0.1,42,35,756221,756591,3197,3286
VC2647,5UTR,NC_002505,Qrr3,sRNA,NC_002506,3423,64,0.0,0.0,2,+,2821342,2821381,772293,772329,+,0.886,0.334,40,36,2821308,2821520,772256,772369
VC2647,5UTR,NC_002505,GcvB,sRNA,NC_002505,3360,14,0.0,0.0,2,+,2821410,2821452,954730,954764,-,0.5022,0.7733,42,35,2821306,2821522,954716,954921
VC2545,5UTR,NC_002505,Vcr043,sRNA,NC_002505,3266,2,0.0,0.0,2,+,2726028,2726067,1114674,1114711,+,0.6187,0.2375,40,37,2725986,2726102,1114587,1114749
VC0349,CDS,NC_002505,Spot42,sRNA,NC_002505,3258,7,0.0,0.0,2,+,371782,371815,106132,106179,+,0.9975,0.046,33,48,371737,372941,106078,106185
Qrr2,sRNA,NC_002506,Qrr3,sRNA,NC_002506,3248,3238,0.0,0.0,2,+,48462,48484,772303,772338,+,0.5545,0.2455,22,35,48393,48514,772263,772369
VC2606,CDS,NC_002505,Spot42,sRNA,NC_002505,3194,13,0.0,0.0,2,-,2774835,2774876,106142,106177,+,0.9945,0.068,41,35,2774800,2776434,106073,106186
VC0327,CDS,NC_002505,TfoR,sRNA,NC_002505,3159,41,0.0,0.0,2,+,339880,339921,2236663,2236698,+,0.6926,0.0703,42,36,339774,340144,2236588,2236710
VC1146,CDS,NC_002505,Vcr043,sRNA,NC_002505,3032,0,0.0,0.0,2,-,1217456,1217497,1114689,1114727,+,0.198,0.1348,41,38,1217234,1217531,1114589,1114750
Qrr2,sRNA,NC_002506,Qrr1,sRNA,NC_002505,3013,3000,0.0,0.0,2,+,48471,48493,1089970,1090005,-,0.5039,0.5576,23,35,48413,48512,1089962,1090053
VC2217,5UTR,NC_002505,Vcr017,sRNA,NC_002505,2995,16,0.0,0.0,2,-,2374182,2374220,350281,350316,-,0.4917,0.5493,39,35,2374119,2374232,350273,350369
VCA0059,5UTR,NC_002506,VrrA,sRNA,NC_002505,2926,15,0.0,0.0,2,-,66777,66803,1878780,1878821,+,0.9694,0.0135,27,41,66753,66844,1878684,1878825
VC1043,CDS,NC_002505,Vcr076,sRNA,NC_002505,2874,19,0.0,0.0,2,-,1112739,1112772,2266024,2266075,-,0.0601,0.4984,34,52,1111540,1112839,2266014,2266157
VC2478,CDS,NC_002505,Spot42,sRNA,NC_002505,2595,1,0.0,0.0,2,+,2657991,2658032,106142,106178,+,0.664,0.0563,41,37,2657863,2658214,106075,106185
VC0643,CDS,NC_002505,Spot42,sRNA,NC_002505,2580,12,4.422163876208983e-177,3.2544291408464648e-174,2,+,685850,685895,106141,106177,+,0.8094,0.0717,45,37,685313,688035,106077,106186
Vcr216,sRNA,NC_002505,GcvB,sRNA,NC_002505,2460,2,0.0,0.0,2,-,2518882,2518923,954732,954768,-,0.3444,0.7531,41,37,2518784,2518973,954716,954923
VC1449,5UTR,NC_002505,VC0410,CDS,NC_002505,2314,7,0.0,0.0,2,+,1549204,1549235,436332,436368,+,0.6244,0.29,31,37,1549164,1549252,436278,436385
VC1337,5UTR,NC_002505,Spot42,sRNA,NC_002505,2203,1,0.0,0.0,2,+,1420765,1420799,106136,106178,+,0.5212,0.0593,34,42,1420709,1420833,106078,106185
VC2013,CDS,NC_002505,TfoR,sRNA,NC_002505,2149,13,0.0,0.0,2,-,2167866,2167909,2236666,2236703,+,0.1881,0.0333,44,38,2166657,2168169,2236587,2236710
VC0395,CDS,NC_002505,Qrr3,sRNA,NC_002506,2103,1811,0.0,0.0,2,-,421461,421485,772298,772333,+,0.0528,0.2965,24,36,420653,421530,772256,772367
VCA0181,5UTR,NC_002506,Vcr043,sRNA,NC_002505,2069,3,0.0,0.0,2,+,199418,199459,1114691,1114727,+,0.8846,0.1335,41,37,199377,199487,1114605,1114750
VC1193,CDS,NC_002505,Vssrna24,sRNA,NC_002505,2063,0,0.0,0.0,2,-,1266575,1266609,106501,106536,+,0.0989,0.0085,34,36,1266429,1266616,106480,106539
