name1,gene1,name2,gene2,type1,type2,relpos1,relpos2,nb_fragments,libs,norm_odds,p_value,ip_total_ratio1,ip_total_ratio2,chromosome1,first_start1,last_start1,chromosome2,first_start2,last_start2
astD -> U5.VC2615,Vcr222,VC1095 -> Vcr045,Vcr045,srna,srna,-1.0,-1.0,15178,"1,2",79.38,0.0,2.19,8.17,NC_002505,-2784045,-2783771,NC_002505,1164263,1164299
Vcr025,Vcr025,Vcr090,Vcr090,srna,srna,-1.0,-1.0,3948,"1,2",1528.33,0.0,1.68,2.49,NC_002505,522631,522695,NC_002506,3227,3262
VC0734,VC0734,U3.VC0025 -> Vcr001,Vcr001,gene,srna,0.0,-1.0,3014,"1,2",0.99,0.5391032764,45.69,21.29,NC_002505,788900,789367,NC_002505,21900,21916
U5.VC0972,VC0972,MicX,MicX,gene,srna,0.0,-1.0,2528,"1,2",1.41,0.0,7.68,6.22,NC_002505,1037756,1037855,NC_002506,-893494,-893273
U5.VC0549 -> VC0549,VC0549,U3.VC0025 -> Vcr001,Vcr001,gene,srna,0.0,-1.0,2458,"1,2",6.97,0.0,5.86,21.29,NC_002505,582319,582671,NC_002505,21894,21916
MicX,MicX,U5.VC0972 -> VC0972,VC0972,srna,gene,-1.0,0.0,2296,"1,2",1.2,0.0,6.5,8.19,NC_002506,-893487,-893282,NC_002505,1037768,1037894
U5.VC1461,VC1462,Vcr096,Vcr096,gene,srna,0.5197657393850659,-1.0,1360,"1,2",46082.64,0.0,151.74,7.08,NC_002505,-1571266,-1571241,NC_002506,-243980,-243937
VCA1097 -> VCA1096,VCA1097,VqmR,VqmR,gene,srna,0.20330578512396694,-1.0,1055,"1,2",3.17,0.0,1.95,0.92,NC_002506,-1053159,-1052604,NC_002506,1031471,1031558
VC1091,VC1091,Vcr001,Vcr001,gene,srna,0.43034697048161574,-1.0,980,"1,2",44.26,0.0,0.15,21.29,NC_002505,1159515,1159979,NC_002505,21900,21916
U5.VC0583 -> VC0583,VC0583,Qrr3,Qrr3,gene,srna,0.0,-1.0,880,"1,2",78.92,0.0,0.88,5.6,NC_002505,-613222,-613128,NC_002506,772272,772337
U5.VC0573 -> VC0573,VC0573,U3.VC0025 -> Vcr001,Vcr001,gene,srna,0.0,-1.0,834,"1,2",11.43,0.0,0.68,19.09,NC_002505,604126,604278,NC_002505,21818,21914
U3.sucA -> VC2086,VC2086,U3.VC0025 -> Vcr001,Vcr001,gene,srna,0.20871862615587847,-1.0,735,"1,2",0.59,0.0,0.12,21.29,NC_002505,-2246699,-2245400,NC_002505,21900,21912
VC2086 -> sucC,VC2086,U3.VC0025 -> Vcr001,Vcr001,gene,srna,0.6730515191545574,-1.0,728,2,3.48,0.0,0.18,32.75,NC_002505,-2245799,-2245104,NC_002505,21900,21911
IG.VCA0942|VCA0946 -> Vcr229,Vcr229,Vcr228,Vcr228,srna,srna,-1.0,-1.0,514,"1,2",1.91,0.0,31.89,1.31,NC_002506,897514,897599,NC_002506,787264,787408
U3.prpB -> VC1337,VC1337,Spot42,Spot42,gene,srna,0.0,-1.0,509,"1,2",3.08,0.0,2.63,22.4,NC_002505,1420634,1420997,NC_002505,106100,106157
U3.hfq -> VC0348,VC0348,U3.VC0025 -> Vcr001,Vcr001,gene,srna,0.03587161736941473,-1.0,487,"1,2",7.31,0.0,0.21,21.29,NC_002505,370414,370882,NC_002505,21900,21915
VC0305,VC0305,VqmR,VqmR,gene,srna,0.5594059405940595,-1.0,459,"1,2",6.45,0.0,1.97,0.91,NC_002505,-316697,-316514,NC_002506,1031474,1031559
VC1492,VC1492,Vcr001,Vcr001,gene,srna,0.27718342734876483,-1.0,446,2,4.32,0.0,0.69,32.75,NC_002505,-1601091,-1600603,NC_002505,21901,21910
VC2271,VC2271,Vcr017,Vcr017,gene,srna,0.5994297933000713,-1.0,444,"1,2",4.17,0.0,5.44,2.24,NC_002505,-2425559,-2425115,NC_002505,-350320,-350279
U5.VC0036 -> VC0036,VC0036,U3.VC0025 -> Vcr001,Vcr001,gene,srna,0.0,-1.0,416,2,15.5,0.0,21.4,29.39,NC_002505,-35790,-35721,NC_002505,21889,21916
Vcr067,Vcr067,Vcr214,Vcr214,srna,srna,-1.0,-1.0,378,1,9.36,0.0,0.8,3.12,NC_002505,1801902,1802090,NC_002505,2376054,2376111
